stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.46153.03202305061220000,T_262,1,1,740,740
27.47153.072023050612385660,T_262,1,2,814,814
27.47153.07202305061246240,T_263,1,1,790,790
27.43153.1520230506131708124,T_263,1,2,805,805
27.43153.15202305061331510,T_264,1,1,862,862
27.44153.132023050613394443,T_264,1,2,863,863
27.44153.13202305061342010,T_265,1,1,823,823
27.07153.220230506150654455,T_265,1,2,960,960
27.07153.2202305061544140,T_266,1,1,958,958
27.43153.1520230506172232552,T_266,1,2,1074,1074
27.43153.15202305080610020,T_267,1,1,372,372
27.47153.0220230508070511159,T_267,1,2,436,436
27.47153.02202305080744100,T_268,1,1,474,474
27.48153.022023050807582037,T_268,1,2,498,498
27.48153.02202305080825240,T_269,1,1,529,529
27.49153.042023050808362526,T_269,1,2,541,541
27.49153.04202305080856080,T_270,1,1,544,544
27.43153.1520230508092624127,T_270,1,2,590,590
27.43153.15202305081005090,T_271,1,1,614,614
27.54153.0920230508104353145,T_271,1,2,696,696
27.54153.09202305081052030,T_272,1,1,655,655
27.48153.042023050811141271,T_272,1,2,686,686
27.48153.04202305081135210,T_273,1,1,716,716
27.5153.042023050811500133,T_273,1,2,711,711
27.5153.04202305081211070,T_274,1,1,738,738
27.46153.032023050812255945,T_274,1,2,804,804
27.46153.03202305081239440,T_275,1,1,803,803
27.47153.032023050812565452,T_275,1,2,830,830
27.47153.03202305081317480,T_276,1,1,845,845
27.43153.1520230508134656135,T_276,1,2,882,882
27.43153.15202305090617420,T_277,1,1,419,419
27.47153.0220230509070734157,T_277,1,2,461,461
27.47153.02202305090727360,T_278,1,1,483,483
27.48153.022023050907432833,T_278,1,2,491,491
27.48153.02202305090750510,T_279,1,1,521,521
27.46153.032023050908134353,T_279,1,2,536,536
27.46153.03202305090822190,T_280,1,1,521,521
27.48153.042023050908345235,T_280,1,2,566,566
27.48153.04202305090849130,T_281,1,1,542,542
27.5153.042023050908564824,T_281,1,2,584,584
27.5153.04202305090908470,T_282,1,1,595,595
27.48153.042023050909173222,T_282,1,2,589,589
27.48153.04202305090921200,T_283,1,1,581,581
27.5153.042023050909282124,T_283,1,2,589,589
